origin_zip,destination_zip,date,carrier,order_type,origin_lat,origin_lng,destination_lat,destination_lng,miles,rate,RPM
90802,90024,2024-09-15,Hub Group,import,33.745762,-118.208042,34.06574,-118.435025,25.64,362.3,14.13
90802,93551,2024-08-25,J.B. Hunt Transport,import,33.745762,-118.208042,34.604105,-118.239213,59.29,433.93,7.32
90802,93218,2024-12-15,DK Express,import,33.745762,-118.208042,35.857141,-119.04493,153.31,723.8,4.72
90802,90090,2025-02-16,Pac Anchor Transportation,import,33.745762,-118.208042,34.072862,-118.240989,22.66,360.61,15.91
90802,92364,2025-06-08,Cardona Trucking,import,33.745762,-118.208042,35.34042,-115.426224,192.74,938.77,4.87
90802,93035,2024-09-07,MTK Transportation,import,33.745762,-118.208042,34.18165,-119.223902,65.5,452.05,6.9
90802,90301,2025-06-06,XPO Logistics,import,33.745762,-118.208042,33.956526,-118.358654,16.92,340.89,20.14
92104,90802,2025-02-07,DK Express,export,32.741501,-117.127948,33.745762,-118.208042,93.26,540.11,5.79
90802,92629,2025-07-13,On Time Truckers,import,33.745762,-118.208042,33.47512,-117.705675,34.4,402.14,11.69
90802,93226,2025-04-20,Gill Roadway Inc,import,33.745762,-118.208042,35.735652,-118.738373,140.65,702.66,5.0
90802,92545,2025-06-20,Schneider National,import,33.745762,-118.208042,33.729684,-117.034192,67.41,468.41,6.95
90802,93224,2024-10-29,C.H. Robinson,import,33.745762,-118.208042,35.228141,-119.569251,128.36,626.27,4.88
90802,92844,2024-08-27,Gill Roadway Inc,import,33.745762,-118.208042,33.765461,-117.969462,13.76,319.32,23.2
92307,90802,2025-03-23,Dependable Highway Express,export,34.571218,-117.133073,33.745762,-118.208042,83.79,511.11,6.1
90802,93440,2025-05-16,Airborne Freight Lines,import,33.745762,-118.208042,34.712216,-120.230146,133.33,694.63,5.21
90802,93562,2025-06-18,All Harbor Transport LLC,import,33.745762,-118.208042,35.746463,-117.386604,145.79,740.17,5.08
93460,90802,2024-10-20,C.H. Robinson,export,34.653533,-120.007153,33.745762,-118.208042,120.35,602.55,5.01
90802,93453,2025-03-22,Hub Group,import,33.745762,-118.208042,35.303925,-120.256566,158.59,738.69,4.66
90802,92266,2024-12-10,Dependable Highway Express,import,33.745762,-118.208042,33.345027,-114.915942,191.45,826.86,4.32
90044,90802,2024-11-30,Freight Horse Express,export,33.952725,-118.291904,33.745762,-118.208042,15.08,326.48,21.65
90802,93225,2025-01-11,MTK Transportation,import,33.745762,-118.208042,34.768503,-119.030293,84.78,504.14,5.95
90802,93313,2025-01-01,Dependable Highway Express,import,33.745762,-118.208042,35.163187,-119.046321,108.88,568.46,5.22
90802,91364,2024-11-01,XPO Logistics,import,33.745762,-118.208042,34.15404,-118.593153,35.79,388.03,10.84
90802,91911,2025-06-04,Lectro Trucking,import,33.745762,-118.208042,32.608185,-117.054512,103.02,589.86,5.73
93440,90802,2024-11-01,XPO Logistics,export,34.712216,-120.230146,33.745762,-118.208042,133.33,637.19,4.78
90802,91706,2025-07-16,Schneider National,import,33.745762,-118.208042,34.09741,-117.968269,27.9,384.18,13.77
90802,91306,2024-09-02,Freight Horse Express,import,33.745762,-118.208042,34.209532,-118.577563,38.38,396.19,10.32
90802,92505,2025-07-24,MTK Transportation,import,33.745762,-118.208042,33.936319,-117.493743,43.02,419.12,9.74
90802,92688,2024-09-27,Amazon Trucking,import,33.745762,-118.208042,33.619672,-117.612087,35.33,385.45,10.91
91326,90802,2025-07-19,Avila Trucking LLC,export,34.281486,-118.556005,33.745762,-118.208042,42.01,433.01,10.31
92339,90802,2025-07-11,MTZ Trucking LLC,export,34.093661,-116.936222,33.745762,-118.208042,76.73,513.02,6.69
90802,93309,2025-06-16,Schneider National,import,33.745762,-118.208042,35.343046,-119.06504,120.57,631.04,5.23
90802,92027,2025-01-24,XPO Logistics,import,33.745762,-118.208042,33.131156,-116.976997,82.65,497.15,6.01
90802,92617,2025-07-22,C.H. Robinson,import,33.745762,-118.208042,33.642508,-117.841681,22.22,365.63,16.45
90802,92879,2024-10-29,On Time Truckers,import,33.745762,-118.208042,33.882614,-117.528205,40.13,399.11,9.95
90802,92617,2025-07-12,Ecology Auto Parts,import,33.745762,-118.208042,33.642508,-117.841681,22.22,369.89,16.65
90802,92660,2025-07-12,QX Logistix LLC,import,33.745762,-118.208042,33.634626,-117.874882,20.62,364.19,17.66
90802,93224,2024-09-19,Amazon Trucking,import,33.745762,-118.208042,35.228141,-119.569251,128.36,621.41,4.84
90802,92408,2024-11-02,SOPAC - Southern Pacific Logistics,import,33.745762,-118.208042,34.083458,-117.270016,58.59,441.33,7.53
90802,92583,2024-12-04,Pac Anchor Transportation,import,33.745762,-118.208042,33.796905,-116.929217,73.48,467.39,6.36
90802,93035,2025-03-27,Amazon Trucking,import,33.745762,-118.208042,34.18165,-119.223902,65.5,463.07,7.07
90802,92335,2024-09-15,DK Express,import,33.745762,-118.208042,34.087181,-117.46545,48.64,423.66,8.71
90802,92140,2025-05-09,Amazon Trucking,import,33.745762,-118.208042,32.739496,-117.197401,90.74,537.48,5.92
90802,93563,2025-07-28,Hub Group,import,33.745762,-118.208042,34.402526,-117.766068,51.92,433.63,8.35
90802,93283,2025-05-23,MTK Transportation,import,33.745762,-118.208042,35.592099,-118.297698,127.58,650.76,5.1
90802,92653,2025-03-26,C.H. Robinson,import,33.745762,-118.208042,33.591216,-117.697621,31.21,385.52,12.35
90802,91320,2024-10-19,All Harbor Transport LLC,import,33.745762,-118.208042,34.175967,-118.945093,51.61,429.36,8.32
93230,90802,2025-07-13,Year-Round Enterprises,export,36.29223,-119.622676,33.745762,-118.208042,193.16,904.34,4.68
90802,91948,2024-12-19,All Seasons Trucking LLC,import,33.745762,-118.208042,32.866646,-116.448325,118.3,612.31,5.18
90802,91761,2025-07-14,All Seasons Trucking LLC,import,33.745762,-118.208042,34.035602,-117.591528,40.61,426.74,10.51
90802,90280,2024-09-28,BNDZ Transportation LLC,import,33.745762,-118.208042,33.944159,-118.192761,13.73,327.94,23.89
90802,92571,2024-08-25,Lectro Trucking,import,33.745762,-118.208042,33.828396,-117.20766,57.69,439.62,7.62
90802,92840,2025-03-05,C.H. Robinson,import,33.745762,-118.208042,33.787165,-117.931889,16.11,333.43,20.7
92688,90802,2024-10-01,Hub Group,export,33.619672,-117.612087,33.745762,-118.208042,35.33,386.2,10.93
90802,92276,2025-03-02,SOPAC - Southern Pacific Logistics,import,33.745762,-118.208042,33.82233,-116.364238,105.94,580.29,5.48
90802,92530,2025-06-26,MTZ Trucking LLC,import,33.745762,-118.208042,33.652315,-117.375512,48.26,440.84,9.14
90802,93454,2025-06-21,XPO Logistics,import,33.745762,-118.208042,34.923013,-120.259463,142.43,704.0,4.94
90802,93454,2025-02-06,Schneider National,import,33.745762,-118.208042,34.923013,-120.259463,142.43,675.57,4.74
90802,92688,2025-02-21,Cecia Transportation,import,33.745762,-118.208042,33.619672,-117.612087,35.33,407.12,11.52
90802,92065,2025-01-26,Precision Worldwide Logistics,import,33.745762,-118.208042,33.053006,-116.850651,91.7,528.7,5.77
90802,91789,2024-10-02,Pac Anchor Transportation,import,33.745762,-118.208042,34.018195,-117.854821,27.64,371.39,13.44
90802,92832,2025-06-24,Schneider National,import,33.745762,-118.208042,33.868617,-117.92901,18.12,348.88,19.26
90802,90039,2024-12-23,Hub Group,import,33.745762,-118.208042,34.111885,-118.261033,25.46,360.9,14.17
90802,91436,2024-12-20,J.B. Hunt Transport,import,33.745762,-118.208042,34.149588,-118.489708,32.21,377.98,11.73
90802,92054,2025-05-09,Amazon Trucking,import,33.745762,-118.208042,33.207351,-117.399315,59.59,450.64,7.56
90802,92307,2025-04-11,360 Global Transportation,import,33.745762,-118.208042,34.571218,-117.133073,83.79,532.67,6.36
90802,92376,2025-01-26,Schneider National,import,33.745762,-118.208042,34.111605,-117.377406,53.87,425.29,7.89
90802,91354,2025-03-29,Pac Anchor Transportation,import,33.745762,-118.208042,34.464834,-118.554077,53.44,435.37,8.15
90025,90802,2024-10-29,Alliance Specialized,export,34.045421,-118.445873,33.745762,-118.208042,24.78,370.91,14.97
90802,92069,2024-09-21,Freight Horse Express,import,33.745762,-118.208042,33.170776,-117.158675,72.32,467.8,6.47
90802,91401,2025-04-28,Ecology Auto Parts,import,33.745762,-118.208042,34.178483,-118.431791,32.51,394.95,12.15
90802,92262,2025-05-25,Hight Logistics,import,33.745762,-118.208042,33.860919,-116.56616,94.53,556.34,5.89
90802,92241,2025-07-07,Schneider National,import,33.745762,-118.208042,33.842584,-116.2929,110.09,595.64,5.41
90802,92120,2025-04-28,Precision Worldwide Logistics,import,33.745762,-118.208042,32.794674,-117.071172,92.84,546.98,5.89
90802,90290,2025-03-24,Amazon Trucking,import,33.745762,-118.208042,34.107752,-118.616218,34.23,392.28,11.46
90802,92254,2024-10-20,Gill Roadway Inc,import,33.745762,-118.208042,33.543835,-115.993906,128.03,631.0,4.93
93460,90802,2025-01-15,Schneider National,export,34.653533,-120.007153,33.745762,-118.208042,120.35,603.8,5.02
90802,92210,2025-02-18,Total Distribution Service,import,33.745762,-118.208042,33.692224,-116.34124,107.27,571.55,5.33
90802,90403,2025-08-06,On Time Truckers,import,33.745762,-118.208042,34.030755,-118.492101,25.54,376.17,14.73
91948,90802,2025-07-15,J.B. Hunt Transport,export,32.866646,-116.448325,33.745762,-118.208042,118.3,625.75,5.29
90802,92617,2025-07-19,Hub Group,import,33.745762,-118.208042,33.642508,-117.841681,22.22,365.04,16.43
90403,90802,2025-01-17,Dependable Highway Express,export,34.030755,-118.492101,33.745762,-118.208042,25.54,365.8,14.32
90802,92109,2024-10-28,Dependable Highway Express,import,33.745762,-118.208042,32.786772,-117.234207,86.86,499.53,5.75
90802,92024,2025-08-08,Total Distribution Service,import,33.745762,-118.208042,33.056022,-117.2599,72.49,490.79,6.77
90802,92145,2025-07-30,Precision Worldwide Logistics,import,33.745762,-118.208042,32.930554,-117.008063,89.21,537.83,6.03
90802,90291,2024-09-23,National Road Logistics,import,33.745762,-118.208042,33.993396,-118.465193,22.58,360.98,15.99
90802,91046,2024-08-27,C.H. Robinson,import,33.745762,-118.208042,34.211452,-118.241036,32.21,379.43,11.78
90802,92336,2025-07-01,Lectro Trucking,import,33.745762,-118.208042,34.147718,-117.464506,50.83,444.25,8.74
90802,91706,2024-10-04,J.B. Hunt Transport,import,33.745762,-118.208042,34.09741,-117.968269,27.9,370.24,13.27
90802,90064,2024-11-30,Precision Worldwide Logistics,import,33.745762,-118.208042,34.037251,-118.423573,23.61,356.47,15.1
90802,93105,2024-12-23,DK Express,import,33.745762,-118.208042,34.533222,-119.791731,105.58,571.6,5.41
90025,90802,2025-04-27,All Seasons Trucking LLC,export,34.045421,-118.445873,33.745762,-118.208042,24.78,384.42,15.52
90802,92342,2025-04-13,SOPAC - Southern Pacific Logistics,import,33.745762,-118.208042,34.757047,-117.350142,85.28,532.55,6.24
93551,90802,2025-01-21,Amazon Trucking,export,34.604105,-118.239213,33.745762,-118.208042,59.29,438.21,7.39
90802,90044,2024-11-03,MTK Transportation,import,33.745762,-118.208042,33.952725,-118.291904,15.08,324.46,21.52
90802,91604,2025-06-15,Year-Round Enterprises,import,33.745762,-118.208042,34.140822,-118.392864,29.26,390.42,13.34
90802,92021,2024-12-16,J.B. Hunt Transport,import,33.745762,-118.208042,32.838798,-116.869956,99.42,534.6,5.38
90802,91320,2025-05-12,Basuta Brothers,import,33.745762,-118.208042,34.175967,-118.945093,51.61,450.21,8.72
90802,93516,2025-03-24,Hub Group,import,33.745762,-118.208042,35.002282,-117.629941,92.8,529.75,5.71
90802,92395,2024-10-09,All Harbor Transport LLC,import,33.745762,-118.208042,34.501472,-117.292048,73.92,485.03,6.56
93226,90802,2024-12-03,United Logistic Services Group,export,35.735652,-118.738373,33.745762,-118.208042,140.65,662.41,4.71
90802,93249,2025-03-10,Pac Anchor Transportation,import,33.745762,-118.208042,35.621697,-119.887747,160.84,754.79,4.69
93402,90802,2025-07-22,Freight Horse Express,export,35.295232,-120.835468,33.745762,-118.208042,183.8,859.39,4.68
90802,90073,2024-11-17,Cardona Trucking,import,33.745762,-118.208042,34.054534,-118.457025,25.65,374.7,14.61
90802,93311,2025-06-24,Hight Logistics,import,33.745762,-118.208042,35.192404,-119.175866,114.07,623.44,5.47
90802,92347,2024-12-28,C.H. Robinson,import,33.745762,-118.208042,34.957406,-117.219606,100.86,540.24,5.36
90802,92233,2025-04-01,QX Logistix LLC,import,33.745762,-118.208042,33.172881,-115.553769,157.92,764.01,4.84
90802,91107,2025-02-18,Ecology Auto Parts,import,33.745762,-118.208042,34.155533,-118.086178,29.14,376.94,12.94
92054,90802,2025-02-20,United Logistic Services Group,export,33.207351,-117.399315,33.745762,-118.208042,59.59,442.39,7.42
90802,92832,2025-07-08,Amazon Trucking,import,33.745762,-118.208042,33.868617,-117.92901,18.12,349.59,19.3
91604,90802,2024-12-26,United Logistic Services Group,export,34.140822,-118.392864,33.745762,-118.208042,29.26,373.89,12.78
90802,93060,2024-11-22,Access One Transport,import,33.745762,-118.208042,34.402343,-119.094824,68.02,459.72,6.76
90802,91790,2024-10-19,On Time Truckers,import,33.745762,-118.208042,34.066964,-117.937007,27.08,371.27,13.71
93454,90802,2024-11-12,XPO Logistics,export,34.923013,-120.259463,33.745762,-118.208042,142.43,666.78,4.68
90802,92675,2025-06-30,Dependable Highway Express,import,33.745762,-118.208042,33.502111,-117.604601,38.56,408.65,10.6
90802,92347,2025-03-26,Dependable Highway Express,import,33.745762,-118.208042,34.957406,-117.219606,100.86,556.53,5.52
91436,90802,2025-05-18,Drayage Group Inc,export,34.149588,-118.489708,33.745762,-118.208042,32.21,407.99,12.67
90802,93255,2025-04-02,C.H. Robinson,import,33.745762,-118.208042,35.67733,-118.101417,133.5,671.1,5.03
90802,90007,2024-11-24,J.B. Hunt Transport,import,33.745762,-118.208042,34.028127,-118.28483,19.99,341.77,17.1
90802,90241,2025-04-14,BNDZ Transportation LLC,import,33.745762,-118.208042,33.940445,-118.129022,14.19,339.61,23.94
90802,91764,2024-09-30,On Time Truckers,import,33.745762,-118.208042,34.074087,-117.605618,41.3,401.47,9.72
90802,92211,2025-07-28,C.H. Robinson,import,33.745762,-118.208042,33.765401,-116.334205,107.58,586.58,5.45
90802,93615,2025-06-16,Pac Anchor Transportation,import,33.745762,-118.208042,36.503322,-119.286328,199.89,905.18,4.53
90802,93561,2024-12-26,JT Freight Trucking,import,33.745762,-118.208042,35.118772,-118.493811,96.19,538.53,5.6
90802,92840,2025-03-09,United Logistic Services Group,import,33.745762,-118.208042,33.787165,-117.931889,16.11,334.8,20.79
90802,92257,2025-03-24,Cal U Transport,import,33.745762,-118.208042,33.294262,-115.296229,170.48,835.92,4.9
90802,90301,2025-04-02,C.H. Robinson,import,33.745762,-118.208042,33.956526,-118.358654,16.92,341.1,20.16
90802,92356,2025-06-03,QX Logistix LLC,import,33.745762,-118.208042,34.510646,-116.896718,91.68,544.95,5.94
90802,92518,2024-11-07,C.H. Robinson,import,33.745762,-118.208042,33.889184,-117.277729,54.28,422.32,7.78
90802,91906,2025-01-26,All Modal Transportation,import,33.745762,-118.208042,32.654814,-116.465544,125.73,648.95,5.16
90802,92106,2025-07-30,All Ports Logistics,import,33.745762,-118.208042,32.709885,-117.237857,90.86,556.84,6.13
90802,90010,2024-12-14,On Time Truckers,import,33.745762,-118.208042,34.062148,-118.315889,22.7,357.91,15.77
90802,90007,2024-12-07,C.H. Robinson,import,33.745762,-118.208042,34.028127,-118.28483,19.99,344.84,17.25
91411,90802,2025-03-05,J.B. Hunt Transport,export,34.178522,-118.459234,33.745762,-118.208042,33.16,385.36,11.62
90802,93111,2024-12-15,QX Logistix LLC,import,33.745762,-118.208042,34.449185,-119.804782,103.41,553.46,5.35
90802,90026,2025-05-14,XPO Logistics,import,33.745762,-118.208042,34.080017,-118.262643,23.29,367.49,15.78
90802,91945,2025-03-26,C.H. Robinson,import,33.745762,-118.208042,32.733168,-117.034176,97.38,547.04,5.62
90802,93436,2025-06-24,Dependable Highway Express,import,33.745762,-118.208042,34.595669,-120.352667,135.84,684.67,5.04
90802,92278,2024-10-08,J.B. Hunt Transport,import,33.745762,-118.208042,34.229975,-116.055065,127.71,627.15,4.91
90802,93243,2025-05-26,Dependable Highway Express,import,33.745762,-118.208042,34.7727,-118.791975,78.34,499.58,6.38
90301,90802,2025-06-02,Access One Transport,export,33.956526,-118.358654,33.745762,-118.208042,16.92,348.16,20.57
90802,92624,2024-09-28,QX Logistix LLC,import,33.745762,-118.208042,33.449184,-117.655588,37.8,397.49,10.52
90802,91320,2025-02-10,Hub Group,import,33.745762,-118.208042,34.175967,-118.945093,51.61,422.21,8.18
92154,90802,2024-09-07,C.H. Robinson,export,32.567022,-117.00425,33.745762,-118.208042,107.08,558.57,5.22
90802,92617,2024-08-23,DK Express,import,33.745762,-118.208042,33.642508,-117.841681,22.22,357.69,16.1
90802,90403,2024-11-25,JT Freight Trucking,import,33.745762,-118.208042,34.030755,-118.492101,25.54,364.36,14.27
93449,90802,2025-02-07,Schneider National,export,35.165505,-120.655929,33.745762,-118.208042,170.38,766.49,4.5
90802,93516,2025-04-24,C.H. Robinson,import,33.745762,-118.208042,35.002282,-117.629941,92.8,542.59,5.85
90802,92376,2025-06-03,Dependable Highway Express,import,33.745762,-118.208042,34.111605,-117.377406,53.87,440.24,8.17
91501,90802,2024-11-04,Dependable Highway Express,export,34.2044,-118.287527,33.745762,-118.208042,31.99,379.79,11.87
90802,92027,2024-10-11,Hight Logistics,import,33.745762,-118.208042,33.131156,-116.976997,82.65,505.95,6.12
90802,90024,2024-12-13,C.H. Robinson,import,33.745762,-118.208042,34.06574,-118.435025,25.64,364.05,14.2
90802,92029,2025-02-11,Year-Round Enterprises,import,33.745762,-118.208042,33.0824,-117.127641,77.3,493.96,6.39
90802,93254,2025-05-12,Schneider National,import,33.745762,-118.208042,34.966867,-119.810433,124.3,642.72,5.17
90802,93312,2025-02-22,All Modal Transportation,import,33.745762,-118.208042,35.393477,-119.120456,125.03,643.04,5.14
90802,90064,2025-07-01,Hight Logistics,import,33.745762,-118.208042,34.037251,-118.423573,23.61,374.91,15.88
90802,93283,2025-07-28,Hub Group,import,33.745762,-118.208042,35.592099,-118.297698,127.58,651.53,5.11
90802,93555,2025-05-27,Campos Trucking,import,33.745762,-118.208042,35.606509,-117.683472,131.88,695.33,5.27
93063,90802,2024-11-04,Cecia Transportation,export,34.308048,-118.686969,33.745762,-118.208042,47.52,429.34,9.03
90802,91759,2024-09-13,Dependable Highway Express,import,33.745762,-118.208042,34.263636,-117.69947,46.11,407.44,8.84
90802,92104,2025-02-05,Dependable Highway Express,import,33.745762,-118.208042,32.741501,-117.127948,93.26,530.95,5.69
90802,90008,2025-08-04,Schneider National,import,33.745762,-118.208042,34.009552,-118.346724,19.87,354.93,17.86
90802,92821,2025-07-26,C.H. Robinson,import,33.745762,-118.208042,33.927561,-117.887086,22.28,363.37,16.31
93250,90802,2024-08-24,SOPAC - Southern Pacific Logistics,export,35.665082,-119.197958,33.745762,-118.208042,143.94,687.05,4.77
90802,92584,2024-11-03,Gill Roadway Inc,import,33.745762,-118.208042,33.652675,-117.173568,59.77,438.75,7.34
90802,92530,2025-06-07,Year-Round Enterprises,import,33.745762,-118.208042,33.652315,-117.375512,48.26,434.18,9.0
91362,90802,2025-02-12,Cargo Legion,export,34.193341,-118.818695,33.745762,-118.208042,46.67,433.82,9.3
90802,92545,2025-03-20,Freight Horse Express,import,33.745762,-118.208042,33.729684,-117.034192,67.41,466.76,6.92
90802,92356,2024-09-18,Amazon Trucking,import,33.745762,-118.208042,34.510646,-116.896718,91.68,513.52,5.6
90802,91941,2025-07-06,Cargo Legion,import,33.745762,-118.208042,32.759266,-116.997091,97.61,588.37,6.03
91343,90802,2024-11-22,Hub Group,export,34.237912,-118.482306,33.745762,-118.208042,37.43,385.35,10.29
90802,93225,2025-01-06,Airborne Freight Lines,import,33.745762,-118.208042,34.768503,-119.030293,84.78,520.14,6.13
90802,91364,2024-12-20,Dependable Highway Express,import,33.745762,-118.208042,34.15404,-118.593153,35.79,386.46,10.8
92411,90802,2025-05-20,MTK Transportation,export,34.122501,-117.320138,33.745762,-118.208042,57.13,447.17,7.83
92145,90802,2024-12-16,United Logistic Services Group,export,32.930554,-117.008063,33.745762,-118.208042,89.21,509.35,5.71
90802,90032,2024-12-11,XPO Logistics,import,33.745762,-118.208042,34.078294,-118.185785,23.0,353.7,15.38
90802,91016,2025-06-24,C.H. Robinson,import,33.745762,-118.208042,34.1528,-118.000482,30.51,387.85,12.71
90802,91978,2025-04-16,Total Distribution Service,import,33.745762,-118.208042,32.724154,-116.940093,101.67,573.35,5.64
90802,92054,2025-02-17,Freight Horse Express,import,33.745762,-118.208042,33.207351,-117.399315,59.59,443.28,7.44
90802,92277,2025-08-11,Campos Trucking,import,33.745762,-118.208042,34.178105,-115.642899,149.9,768.73,5.13
90802,92562,2025-01-03,On Time Truckers,import,33.745762,-118.208042,33.547613,-117.34404,51.51,424.23,8.24
90802,90039,2024-10-04,SOPAC - Southern Pacific Logistics,import,33.745762,-118.208042,34.111885,-118.261033,25.46,369.83,14.53
90802,92121,2025-04-22,MTK Transportation,import,33.745762,-118.208042,32.899592,-117.201203,82.39,510.93,6.2
90802,92879,2024-11-12,On Time Truckers,import,33.745762,-118.208042,33.882614,-117.528205,40.13,399.06,9.94
90802,91706,2024-12-06,United Logistic Services Group,import,33.745762,-118.208042,34.09741,-117.968269,27.9,371.29,13.31
92395,90802,2025-05-17,Gill Roadway Inc,export,34.501472,-117.292048,33.745762,-118.208042,73.92,494.21,6.69
90802,90403,2024-11-14,XPO Logistics,import,33.745762,-118.208042,34.030755,-118.492101,25.54,359.87,14.09
90802,92256,2025-04-28,Ecology Auto Parts,import,33.745762,-118.208042,34.07707,-116.606438,94.58,551.06,5.83
90802,93250,2024-11-16,On Time Truckers,import,33.745762,-118.208042,35.665082,-119.197958,143.94,673.9,4.68
90802,92807,2025-04-09,Airborne Freight Lines,import,33.745762,-118.208042,33.848733,-117.788357,25.11,385.02,15.33
90802,93441,2025-01-20,Schneider National,import,33.745762,-118.208042,34.718381,-120.154184,129.81,631.52,4.86
90802,93441,2024-11-03,MTK Transportation,import,33.745762,-118.208042,34.718381,-120.154184,129.81,633.99,4.88
90802,92120,2025-02-13,Ecology Auto Parts,import,33.745762,-118.208042,32.794674,-117.071172,92.84,532.32,5.73
90802,92105,2025-05-18,C.H. Robinson,import,33.745762,-118.208042,32.737832,-117.09267,94.82,546.54,5.76
90802,90242,2025-01-17,C.H. Robinson,import,33.745762,-118.208042,33.921793,-118.140588,12.75,314.99,24.7
92505,90802,2025-02-24,Avila Trucking LLC,export,33.936319,-117.493743,33.745762,-118.208042,43.02,421.34,9.79
90802,92277,2024-09-04,Schneider National,import,33.745762,-118.208042,34.178105,-115.642899,149.9,689.02,4.6
90802,93454,2025-04-29,Pac Anchor Transportation,import,33.745762,-118.208042,34.923013,-120.259463,142.43,703.08,4.94
90802,90024,2025-07-09,J.B. Hunt Transport,import,33.745762,-118.208042,34.06574,-118.435025,25.64,376.17,14.67
93243,90802,2025-01-24,Hub Group,export,34.7727,-118.791975,33.745762,-118.208042,78.34,482.88,6.16
90802,92220,2025-05-13,QX Logistix LLC,import,33.745762,-118.208042,33.948935,-116.832386,80.12,509.97,6.36
90802,92108,2025-04-28,Hub Group,import,33.745762,-118.208042,32.773983,-117.142706,91.02,528.91,5.81
90802,93230,2024-12-28,Chicas & Co Logistics,import,33.745762,-118.208042,36.29223,-119.622676,193.16,887.15,4.59
90802,91371,2025-02-23,Schneider National,import,33.745762,-118.208042,34.184518,-118.57644,36.92,391.53,10.61
90802,91350,2025-01-05,Can Trail Transportation LLC,import,33.745762,-118.208042,34.442163,-118.500843,50.91,440.06,8.64
90802,93035,2024-09-08,Schneider National,import,33.745762,-118.208042,34.18165,-119.223902,65.5,445.5,6.8
90802,93110,2025-06-19,Campos Trucking,import,33.745762,-118.208042,34.446201,-119.762794,101.2,596.62,5.9
92583,90802,2024-12-23,Ape Express Trucking,export,33.796905,-116.929217,33.745762,-118.208042,73.48,484.58,6.59
90802,92345,2024-12-18,MTZ Trucking LLC,import,33.745762,-118.208042,34.376319,-117.294397,68.02,464.08,6.82
90802,91722,2024-12-06,J.B. Hunt Transport,import,33.745762,-118.208042,34.097345,-117.906736,29.79,371.99,12.49
90802,90008,2025-06-27,Hub Group,import,33.745762,-118.208042,34.009552,-118.346724,19.87,354.28,17.83
90802,93033,2024-11-30,C.H. Robinson,import,33.745762,-118.208042,34.150203,-119.127727,59.62,429.91,7.21
92233,90802,2024-12-12,JT Freight Trucking,export,33.172881,-115.553769,33.745762,-118.208042,157.92,739.99,4.69
